EGM_ID,WYGF_ID,River_Mile,Tributary,Temporal.Event,Species,Date,Length,Weight,Sex,Maturity,raw,assembled,q,big_Q,PC1,PC2,PC3,PC4,missing_prop,group
EGM18_0100,SAR_18_08,6.7-8.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,20.7,2.81,M,Ripe,589602,464823,5.26174398446715e-06,3.73721873383445e-06,-0.0414078,-0.0266752,0.0280847,-0.0108357,0.272893316728933,2
EGM18_0101,SAR_18_08,6.7-8.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,22,2.95,F,Green,451229,356031,0.00248150776653006,0.00495751592099783,-0.0813208,-0.0053778,0.0096929,-0.0322413,0.367953507679535,3
EGM18_0102,SAR_18_08,6.7-8.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,18.3,1.81,M,Ripe,966276,775558,0.00147560781603325,0.0029486653486564,0.0182983,-0.0740931,-0.0118012,0.0367252,0.15093399750934,1
EGM18_0103,SAR_18_08,6.7-8.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,20.3,2.16,M,Ripe,1131158,901384,2.26462879851175e-06,2.11275847861181e-06,0.0151343,-0.0063177,0.0410598,0.002825,0.114155251141553,2
EGM18_0104,SAR_18_08,6.7-8.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,18.5,1.87,M,Ripe,954001,759554,2.4983877061829e-06,2.50635935333921e-06,-0.0319839,0.0253795,0.0351629,-0.0148416,0.146782897467829,3
EGM18_0105,SAR_18_08,6.7-8.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,17.5,1.49,M,Ripe,951859,774333,1.98293594075312e-06,2.09590263308565e-06,0.0336052,-0.060174,0.0365881,-0.0173039,0.143129929431299,1
EGM18_0106,SAR_18_08,6.7-8.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,17.3,1.54,M,Ripe,1760539,1400912,1.81017794530769e-06,1.35226391890133e-06,0.0374098,0.0002306,0.0232116,0.006472,0.0728933167289332,2
EGM18_0107,SAR_18_08,6.7-8.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,17.2,1.66,M,Ripe,785706,600824,3.02524733518081e-06,2.8876811576555e-06,-0.0301878,0.0334009,0.0367741,0.027248,0.181403071814031,3
EGM18_0109,SAR_18_08,6.7-8.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,18.6,2.2,M,Ripe,1037406,828795,2.00345893379165e-06,1.37170409467475e-06,0.0017619,-0.0124056,0.0307799,0.0097225,0.130759651307597,2
EGM18_0110,SAR_18_08,6.7-8.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,18,2.04,M,Ripe,612161,484657,4.89952986861064e-06,4.63702496714187e-06,-0.0088995,-0.088564,0.0155422,0.0091226,0.254545454545455,1
EGM18_0111,SAR_18_08,6.7-8.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,19.2,2.04,M,Ripe,525245,424936,3.39734973762756e-06,4.06463289351424e-06,-0.0519001,-0.0281495,7.84e-05,-0.0348832,0.312494811124948,2
EGM18_0112,SAR_18_09,67.3,Bighorn River,Pre-Spawn ,SAR,5/3/2018,24,4.22,F,Spent,484076,380057,0.00373655342715811,0.00746938775446564,-0.0858,0.0004238,-0.0001465,0.0042094,0.322457451224575,3
EGM18_0113,SAR_18_09,67.3,Bighorn River,Pre-Spawn ,SAR,5/3/2018,16.1,1.11,M,Ripe,475976,381295,0.0014486499427274,0.00286001373990962,-0.0393516,-0.085669,-0.0044489,-0.0066932,0.33217102532171,1
EGM18_0114,SAR_18_09,67.3,Bighorn River,Pre-Spawn ,SAR,5/3/2018,17.4,1.48,M,Ripe,594136,476503,0.000160753161790206,0.000318093946944401,-0.044275,-0.0248013,0.0124954,-0.0205288,0.27538397675384,2
EGM18_0115,SAR_18_09,67.3,Bighorn River,Pre-Spawn ,SAR,5/3/2018,17.5,1.58,M,Ripe,443901,352649,1.06605207611505e-05,1.50486105739456e-05,-0.0824486,-0.005889,-0.000818,-0.0312291,0.35848899958489,3
EGM18_0116,SAR_18_09,67.3,Bighorn River,Pre-Spawn ,SAR,5/3/2018,17,1.27,M,Ripe,1444495,1130737,1.90393303175602e-06,1.68005266895083e-06,0.0573189,-0.0673534,0.0384106,0.0525008,0.0914072229140722,1
EGM18_0117,SAR_18_09,67.3,Bighorn River,Pre-Spawn ,SAR,5/3/2018,16.3,1.19,M,Ripe,1288048,1049009,2.46829082919359e-06,2.66212388450224e-06,0.0182018,0.0026974,0.0053877,0.0129992,0.110253217102532,2
EGM18_0121,SAR_18_10,68,Bighorn River,Pre-Spawn ,SAR,5/3/2018,22.7,4.67,F,Intermediate,403538,316017,0.0864908936448886,0.172977008182427,-0.0776146,-0.0112585,-0.0049938,-0.002647,0.403486924034869,3
EGM18_0122,SAR_18_10,68,Bighorn River,Pre-Spawn ,SAR,5/3/2018,19.5,2.64,F,Firm,736964,575870,0.0371593920563268,0.0743032884315626,0.0021833,-0.0703266,0.0333669,0.0284438,0.206807804068078,1
EGM18_0123,SAR_18_10,68,Bighorn River,Pre-Spawn ,SAR,5/3/2018,20.6,2.67,F,Firm,719977,583611,0.0289806643128344,0.0579587815299408,-0.0172621,-0.0106323,0.0327791,-0.0085711,0.20390203403902,2
EGM18_0124,SAR_18_10,68,Bighorn River,Pre-Spawn ,SAR,5/3/2018,18.2,1.72,M,Ripe,942251,742259,0.0160218179372242,0.0320404600037871,-0.0297333,0.0312756,0.022074,0.0031746,0.160481527604815,3
EGM18_0125,SAR_18_10,68,Bighorn River,Pre-Spawn ,SAR,5/3/2018,18.6,1.82,M,Ripe,1034991,827223,0.00256012855292508,0.00511472363173551,0.0335226,-0.0770299,0.0022816,0.0323083,0.14321295143213,1
EGM18_0126,SAR_18_10,68,Bighorn River,Pre-Spawn ,SAR,5/3/2018,16.1,1.27,M,Ripe,941354,770818,0.00535327064491061,0.0107037049459384,-0.0177076,-0.0187987,-0.0011643,-0.0135137,0.160481527604815,2
